rank,word,similarity
410,hoer,0.37234750
411,mane,0.37195492
412,bet,0.37193793
413,harnessed,0.37188002
414,coat,0.37180251
415,saddletree,0.37168751
416,chevalier,0.37167251
417,cavalrymen,0.37165170
418,mouse,0.37145322
419,nicker,0.37143987
420,hair,0.37112881
421,honkey,0.37094058
422,tack,0.37070366
423,kudu,0.37058487
424,oat,0.37049706
425,stride,0.37046690
426,dogface,0.37038629
427,halterbroken,0.37033891
428,bunny,0.37016199
429,hard,0.36974095
430,handbarrow,0.36969097
431,manege,0.36953156
432,his,0.36953083
433,roach,0.36951889
434,superstud,0.36940321
435,sow,0.36933015
436,racer,0.36926157
437,stall,0.36919012
438,furzier,0.36912838
439,hoglike,0.36903649
440,hambone,0.36874517
441,eyra,0.36873550
442,coonhound,0.36873549
443,addle,0.36867516
444,trooper,0.36832094
445,arider,0.36830811
446,hotrod,0.36828777
447,shoer,0.36819935
448,equisetum,0.36803715
449,giddyap,0.36800430
450,goose,0.36791260
451,whose,0.36786000
452,hoppier,0.36781461
453,plushest,0.36769592
454,walrus,0.36764203
455,livery,0.36742832
456,hackney,0.36741977
457,bear,0.36735033
458,tracker,0.36729100
459,donkeywork,0.36727116
460,heron,0.36721960
461,grape,0.36718502
462,beastie,0.36711145
463,jackrabbit,0.36705793
464,croc,0.36683298
465,whippletree,0.36642856
466,raced,0.36631793
467,breed,0.36628790
468,rooser,0.36626489
469,curricle,0.36624764
470,cantering,0.36617573
471,horal,0.36604512
472,weapon,0.36603524
473,hart,0.36601342
474,swan,0.36595486
475,horsemint,0.36592776
476,dragoon,0.36588651
477,bradoon,0.36581830
478,unbridle,0.36579118
479,unharnessed,0.36574464
480,harrier,0.36561425
481,bro,0.36560731
482,cercus,0.36546361
483,thoro,0.36539691
484,horseweed,0.36528323
485,rack,0.36515275
486,bo,0.36508231
487,pike,0.36505152
488,bucket,0.36495433
489,cowplop,0.36477658
490,torot,0.36476744
491,housel,0.36474875
492,crow,0.36472237
493,nonhuman,0.36462520
494,zebus,0.36438476
495,cane,0.36435660
496,pasture,0.36431513
497,habit,0.36418312
498,player,0.36416258
499,host,0.36391655
500,caparisoned,0.36375913
501,hayrick,0.36370410
502,bearer,0.36369061
503,handle,0.36366880
504,heel,0.36364415
505,ferine,0.36356284
506,whin,0.36346807
507,yearling,0.36336027
508,silver,0.36333536
509,horehound,0.36322326
510,book,0.36321405
511,buster,0.36316061
512,hoper,0.36310612
513,hustler,0.36300437
514,serow,0.36276381
515,lamb,0.36274454
516,hardware,0.36263771
517,hoise,0.36260762
518,tusk,0.36249048
519,bohunk,0.36248242
520,hircine,0.36245468
521,handler,0.36237115
522,racetrack,0.36237029
523,grass,0.36234914
524,pronghorn,0.36233464
525,bird,0.36233426
526,unharness,0.36231876
527,fortune,0.36228309
528,her,0.36227939
529,mounted,0.36222557
530,caparison,0.36217624
531,borzoi,0.36211548
532,schoolmaster,0.36157857
533,turtle,0.36141017
534,hostler,0.36139959
535,elaphine,0.36132795
536,bovid,0.36128321
537,pheasant,0.36126447
538,buffalo,0.36119028
539,rode,0.36115291
540,rowing,0.36111695
541,heart,0.36099994
542,slug,0.36075995
543,slave,0.36069927
544,cattalo,0.36068354
545,hast,0.36058397
546,pigeon,0.36057814
547,sawbuck,0.36050139
548,hocussed,0.36046139
549,bridled,0.36030911
550,swagger,0.35994395
551,happy,0.35991488
552,mammoth,0.35982836
553,nickering,0.35980419
554,classic,0.35975838
555,ox,0.35961769
556,nickered,0.35958506
557,pommel,0.35947058
558,circus,0.35939536
559,toy,0.35933735
560,bock,0.35932810
561,pranced,0.35931231
562,machine,0.35924382
563,dogsled,0.35917238
564,horsefly,0.35915857
565,galopade,0.35914870
566,hirsle,0.35911594
567,zamarro,0.35911456
568,tameless,0.35875714
569,surf,0.35871185
570,hitched,0.35867001
571,rear,0.35862668
572,nylghai,0.35853750
573,doghouse,0.35844260
574,bootjack,0.35843549
575,adult,0.35834980
576,hordein,0.35829741
577,carry,0.35818792
578,kart,0.35813248
579,remuda,0.35808458
580,hipless,0.35794520
581,hest,0.35790148
582,calf,0.35780858
583,charioteer,0.35780246
584,antelope,0.35775819
585,onus,0.35773098
586,brush,0.35764078
587,bridge,0.35745001
588,man,0.35724008
589,wild,0.35702355
590,hitch,0.35695950
591,hognut,0.35693280
592,bullock,0.35690768
593,train,0.35687569
594,hub,0.35672537
595,barguest,0.35668439
596,hayloft,0.35666352
597,currency,0.35662161
598,hurdle,0.35658435
599,ticket,0.35657548
600,hook,0.35655645
601,saddling,0.35654348
602,reindeer,0.35649817
603,pace,0.35642161
604,knight,0.35625063
605,harp,0.35622604
606,carousel,0.35620818
607,hummer,0.35613914
608,wine,0.35613097
609,porpoise,0.35602395
610,mammal,0.35597341
611,kouprey,0.35587721
612,postilion,0.35587094
613,outridden,0.35576647
