rank,word,similarity
768,custom,0.35854882
769,ag,0.35849052
770,cake,0.35845435
771,ired,0.35845313
772,oration,0.35837508
773,description,0.35832193
774,karat,0.35825443
775,light,0.35822617
776,rap,0.35819491
777,shape,0.35819238
778,hobby,0.35814741
779,armlet,0.35810233
780,ism,0.35799739
781,wirework,0.35798211
782,iatrical,0.35792492
783,cite,0.35792006
784,ached,0.35791851
785,aviation,0.35789624
786,aqua,0.35785232
787,eating,0.35784085
788,fantast,0.35783271
789,spirit,0.35778178
790,lat,0.35776476
791,marketing,0.35775887
792,arabesque,0.35765606
793,realty,0.35760401
794,or,0.35758072
795,career,0.35754121
796,draft,0.35749255
797,section,0.35747972
798,printing,0.35747323
799,chic,0.35728014
800,answer,0.35727930
801,hearth,0.35723602
802,arcus,0.35720152
803,aery,0.35718732
804,politic,0.35717917
805,pastiche,0.35714645
806,archer,0.35714527
807,spiel,0.35714388
808,archeological,0.35713555
809,past,0.35711647
810,property,0.35710743
811,beer,0.35709042
812,era,0.35708825
813,energy,0.35707775
814,competition,0.35707526
815,poem,0.35707049
816,quart,0.35705264
817,about,0.35704635
818,account,0.35702778
819,defense,0.35701210
820,dot,0.35699424
821,craftsmanship,0.35697419
822,live,0.35690781
823,title,0.35687597
824,mind,0.35670839
825,karate,0.35667579
826,calligraphy,0.35652881
827,anga,0.35652758
828,figuration,0.35645789
829,pictorialism,0.35644554
830,masterstroke,0.35631352
831,aroint,0.35628020
832,see,0.35626293
833,sculpted,0.35624068
834,markup,0.35622497
835,sculpturesquely,0.35606332
836,tutu,0.35602511
837,mannerism,0.35600762
838,ordination,0.35598986
839,lyrism,0.35592162
840,actable,0.35590061
841,physic,0.35589637
842,witing,0.35587490
843,aff,0.35583040
844,printmaking,0.35574070
845,wow,0.35563636
846,decorating,0.35560854
847,woodwork,0.35534740
848,armet,0.35533722
849,studying,0.35531601
850,hit,0.35522578
851,expressionism,0.35520226
852,programing,0.35517561
853,service,0.35517374
854,modeling,0.35517030
855,acerb,0.35514780
856,skit,0.35504770
857,start,0.35503335
858,cultrate,0.35500013
859,styling,0.35492169
860,school,0.35488782
861,singing,0.35488307
862,hearting,0.35477999
863,archness,0.35477960
864,bodywork,0.35469018
865,sculped,0.35463873
866,memo,0.35461947
867,asterisk,0.35459044
868,advance,0.35452036
869,angstrom,0.35447063
870,gym,0.35446545
871,al,0.35445042
872,subsection,0.35441799
873,logic,0.35439258
874,wonderwork,0.35426488
875,collect,0.35421744
876,guitar,0.35405692
877,charactery,0.35394879
